iter	Passed	Remaining
276	624	1630
277	626	1627
278	628	1623
279	629	1619
280	631	1616
281	633	1612
282	634	1608
283	636	1604
284	638	1601
285	639	1597
286	641	1594
287	643	1590
288	645	1588
289	647	1584
290	648	1580
291	650	1576
292	652	1573
293	653	1570
294	655	1566
295	657	1563
296	659	1561
297	661	1558
298	664	1557
299	666	1555
300	669	1553
301	670	1550
302	672	1547
303	674	1544
304	676	1540
305	677	1537
306	679	1533
307	680	1529
308	682	1526
309	684	1523
310	686	1520
311	688	1517
312	690	1514
313	691	1511
314	693	1507
315	695	1504
316	697	1501
317	698	1498
318	700	1495
319	702	1492
320	703	1488
321	705	1485
322	706	1481
323	708	1478
324	710	1474
325	711	1471
326	713	1467
327	714	1464
328	716	1461
329	718	1459
330	721	1457
331	722	1454
332	724	1450
333	725	1447
334	727	1444
335	729	1441
336	731	1438
337	733	1435
338	734	1432
339	736	1429
340	738	1427
341	740	1423
342	741	1420
343	743	1417
344	745	1414
345	746	1411
346	748	1409
347	750	1406
348	752	1402
349	753	1399
350	755	1396
351	756	1393
352	758	1389
353	760	1387
354	761	1384
355	763	1380
356	764	1377
357	766	1374
358	768	1371
359	769	1368
360	772	1367
361	774	1364
362	776	1361
363	777	1358
364	779	1355
365	781	1353
366	783	1350
367	784	1347
368	786	1345
369	789	1343
370	791	1342
371	793	1338
372	794	1335
373	796	1332
374	797	1329
375	799	1326
376	801	1324
377	803	1322
378	805	1319
379	806	1316
380	808	1313
381	810	1310
382	811	1307
383	813	1304
384	815	1302
385	817	1300
386	819	1298
387	821	1296
388	823	1294
389	826	1292
390	828	1289
391	830	1288
392	832	1285
393	834	1283
394	836	1280
395	837	1277
396	839	1274
397	840	1271
398	842	1268
399	843	1265
400	845	1263
401	847	1260
402	848	1257
403	850	1254
404	851	1251
405	853	1248
406	855	1246
407	857	1243
408	858	1241
409	860	1238
410	861	1235
411	863	1232
412	865	1229
413	867	1227
414	868	1224
415	870	1221
416	871	1218
417	873	1216
418	875	1213
419	877	1211
420	878	1208
421	880	1205
422	882	1203
423	883	1200
424	885	1197
425	887	1195
426	888	1192
427	890	1190
428	892	1187
429	893	1184
430	895	1182
431	897	1179
432	899	1177
433	901	1175
434	903	1173
435	905	1171
436	907	1169
437	909	1167
438	911	1165
439	913	1163
440	916	1161
441	918	1159
442	920	1157
443	922	1155
444	924	1153
445	926	1151
446	928	1149
447	930	1147
448	932	1144
449	935	1142
450	937	1140
451	938	1138
452	940	1136
453	943	1134
454	945	1131
455	947	1129
456	949	1127
457	951	1125
458	953	1123
459	955	1121
460	957	1118
461	959	1117
462	961	1115
463	963	1113
464	965	1111
465	967	1109
466	970	1107
467	972	1105
468	974	1103
469	976	1101
470	978	1099
471	980	1096
472	982	1094
473	984	1092
474	986	1090
475	988	1088
476	991	1086
477	993	1084
478	995	1082
479	997	1080
480	998	1077
481	1000	1075
482	1002	1073
483	1004	1070
484	1005	1068
485	1007	1065
486	1009	1062
487	1010	1060
488	1012	1057
489	1014	1055
490	1016	1054
491	1019	1052
492	1021	1050
493	1024	1048
494	1026	1046
495	1027	1044
496	1029	1042
497	1031	1039
498	1032	1036
499	1034	1034
500	1035	1031
501	1038	1030
502	1041	1029
503	1043	1026
504	1045	1024
505	1046	1022
506	1048	1019
507	1050	1017
508	1052	1014
509	1053	1012
510	1055	1010
511	1057	1007
512	1059	1006
513	1061	1004
514	1064	1002
515	1065	999
516	1067	997
517	1069	995
518	1071	993
519	1073	990
520	1075	988
521	1076	985
522	1078	983
523	1079	980
524	1081	978
525	1083	976
526	1086	974
527	1087	972
528	1089	969
529	1090	967
530	1092	964
531	1093	962
532	1095	959
533	1097	957
534	1098	955
535	1100	953
536	1102	950
537	1104	948
538	1105	945
539	1107	943
540	1108	940
541	1110	938
542	1111	935
543	1113	933
544	1115	931
545	1117	928
546	1118	926
547	1120	924
548	1121	921
549	1123	919
550	1125	916
551	1126	914
552	1128	912
553	1130	910
554	1132	907
555	1133	905
556	1135	903
557	1137	900
558	1138	898
559	1140	895
560	1141	893
561	1144	892
562	1146	890
563	1148	887
564	1149	885
565	1151	882
566	1152	880
567	1154	878
568	1156	876
569	1158	873
570	1160	871
571	1161	869
572	1163	866
573	1164	864
574	1166	862
575	1168	859
576	1169	857
577	1171	855
578	1173	853
579	1175	851
580	1176	848
581	1178	846
582	1180	844
583	1181	841
584	1183	839
585	1185	837
586	1187	835
587	1189	833
588	1191	831
589	1192	828
590	1194	826
591	1195	824
592	1197	821
593	1199	819
594	1201	817
595	1202	815
596	1204	812
597	1206	810
598	1207	808
599	1209	806
600	1211	804
601	1212	801
602	1214	799
603	1216	797
604	1217	795
605	1219	792
606	1221	790
607	1222	788
608	1224	785
609	1225	783
610	1227	781
611	1229	779
612	1231	777
613	1232	774
614	1234	772
615	1236	770
616	1237	768
617	1239	766
618	1241	764
619	1243	761
620	1244	759
621	1246	757
622	1247	755
623	1249	753
624	1251	751
625	1253	748
626	1254	746
627	1256	744
628	1258	742
629	1259	739
630	1261	737
631	1263	735
632	1265	733
633	1267	731
634	1268	729
635	1270	727
636	1272	725
637	1274	723
638	1276	720
639	1277	718
640	1279	716
641	1280	714
642	1282	711
643	1283	709
644	1286	707
645	1288	706
646	1290	704
647	1292	702
648	1294	700
649	1296	698
650	1298	696
651	1301	694
652	1303	692
653	1304	690
654	1306	688
655	1308	686
656	1310	684
657	1311	681
658	1313	679
659	1315	677
660	1317	675
661	1318	673
662	1320	671
663	1321	668
664	1323	666
665	1325	664
666	1327	662
667	1329	660
668	1330	658
669	1332	656
670	1333	654
671	1335	651
672	1337	649
673	1339	647
674	1340	645
675	1342	643
676	1345	641
677	1347	639
678	1348	637
679	1350	635
680	1352	633
681	1353	631
682	1355	629
683	1357	627
684	1359	624
685	1360	622
686	1362	620
687	1363	618
688	1365	616
689	1367	614
690	1368	612
691	1371	610
692	1373	608
693	1376	606
694	1378	605
695	1381	603
696	1383	601
697	1384	599
698	1387	597
699	1389	595
700	1391	593
701	1393	591
702	1395	589
703	1396	587
704	1398	585
705	1399	582
706	1401	580
707	1403	578
708	1404	576
709	1406	574
710	1407	572
711	1409	570
712	1411	567
713	1412	565
714	1414	563
715	1416	561
716	1418	559
717	1419	557
718	1421	555
719	1422	553
720	1424	551
721	1426	549
722	1428	547
723	1429	545
724	1431	543
725	1433	540
726	1435	538
727	1436	536
728	1438	534
729	1440	532
730	1441	530
731	1443	528
732	1445	526
733	1447	524
734	1449	522
735	1450	520
736	1452	518
737	1454	516
738	1455	514
739	1457	512
740	1459	510
741	1460	507
742	1462	505
743	1463	503
744	1465	501
745	1467	499
746	1468	497
747	1470	495
748	1472	493
749	1474	491
750	1475	489
751	1477	487
752	1478	485
753	1480	483
754	1481	480
755	1483	478
756	1484	476
757	1486	474
758	1488	472
759	1490	470
760	1491	468
761	1493	466
762	1494	464
763	1496	462
764	1498	460
765	1500	458
766	1503	456
767	1504	454
768	1506	452
769	1507	450
770	1509	448
771	1511	446
772	1512	444
773	1514	442
774	1515	440
775	1517	438
776	1519	436
777	1521	434
778	1522	431
779	1524	429
780	1525	427
781	1527	425
782	1529	423
783	1530	421
784	1532	419
785	1534	417
786	1535	415
787	1537	413
788	1538	411
789	1540	409
790	1542	407
791	1545	405
792	1546	403
793	1548	401
794	1549	399
795	1551	397
796	1553	395
797	1555	393
798	1556	391
799	1558	389
800	1560	387
801	1561	385
802	1563	383
803	1565	381
804	1567	379
805	1569	377
806	1570	375
807	1572	373
808	1574	371
809	1576	369
810	1577	367
811	1579	365
812	1580	363
813	1582	361
814	1584	359
815	1585	357
816	1587	355
817	1589	353
818	1591	351
819	1593	349
820	1594	347
821	1596	345
822	1598	343
823	1599	341
824	1601	339
825	1602	337
826	1604	335
827	1606	333
828	1608	331
829	1609	329
830	1611	327
831	1613	325
832	1615	323
833	1617	321
834	1619	319
835	1620	317
836	1622	315
837	1623	313
838	1625	311
839	1627	309
840	1629	308
841	1630	306
842	1632	303
843	1633	301
844	1635	300
845	1637	298
846	1639	296
847	1640	294
848	1642	292
849	1643	290
850	1645	288
851	1646	286
852	1648	284
853	1650	282
854	1651	280
855	1653	278
856	1654	276
857	1656	274
858	1658	272
859	1660	270
860	1661	268
861	1663	266
862	1664	264
863	1666	262
864	1668	260
865	1669	258
866	1671	256
867	1672	254
868	1674	252
869	1676	250
870	1677	248
871	1679	246
872	1681	244
873	1683	242
874	1685	240
875	1686	238
876	1688	236
877	1689	234
878	1691	232
879	1693	230
880	1694	228
881	1696	226
882	1697	224
883	1699	223
884	1701	221
885	1703	219
886	1704	217
887	1706	215
888	1708	213
889	1710	211
890	1711	209
891	1713	207
892	1715	205
893	1717	203
894	1718	201
895	1720	199
896	1722	197
897	1723	195
898	1725	193
899	1727	191
900	1729	190
901	1732	188
902	1734	186
903	1736	184
904	1738	182
905	1740	180
906	1742	178
907	1743	176
908	1745	174
909	1747	172
910	1749	170
911	1750	168
912	1752	166
913	1753	165
914	1755	163
915	1757	161
916	1760	159
917	1762	157
918	1764	155
919	1767	153
920	1769	151
921	1771	149
922	1774	147
923	1775	146
924	1777	144
925	1779	142
926	1780	140
927	1782	138
928	1784	136
929	1785	134
930	1787	132
931	1789	130
932	1791	128
933	1792	126
934	1793	124
935	1795	122
936	1797	120
937	1799	118
938	1800	116
939	1802	115
940	1803	113
941	1805	111
942	1807	109
943	1808	107
944	1810	105
945	1812	103
946	1814	101
947	1815	99
948	1817	97
949	1819	95
950	1820	93
951	1822	91
952	1824	89
953	1825	88
954	1827	86
955	1829	84
956	1830	82
957	1832	80
958	1834	78
959	1835	76
960	1837	74
961	1838	72
962	1840	70
963	1842	68
964	1844	66
965	1845	64
966	1847	63
967	1848	61
968	1850	59
969	1852	57
970	1853	55
971	1856	53
972	1858	51
973	1860	49
974	1862	47
975	1864	45
976	1865	43
977	1867	42
978	1869	40
979	1871	38
980	1872	36
981	1874	34
982	1876	32
983	1877	30
984	1879	28
985	1880	26
986	1882	24
987	1884	22
988	1886	20
989	1887	19
990	1889	17
991	1890	15
992	1892	13
993	1894	11
994	1895	9
995	1897	7
996	1899	5
997	1900	3
998	1902	1
999	1904	0
